                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.05471,                0.93344,                      1,                    nan,             0.00023533,             0.00023533,             0.00023533
                      1,                0.01129,                0.93502,                      1,                    nan,             0.00046864,             0.00046864,             0.00046864
                      2,                0.00833,                0.95404,                      1,                    nan,             0.00069724,             0.00069724,             0.00069724
                      3,                0.00743,                0.95246,                      1,                    nan,             0.00069279,             0.00069279,             0.00069279
                      4,                0.01149,                0.94612,                      1,                    nan,             0.00069279,             0.00069279,             0.00069279
                      5,                 0.0081,                0.94295,                      1,                    nan,             0.00068573,             0.00068573,             0.00068573
                      6,                0.01199,                0.95246,                      1,                    nan,             0.00067866,             0.00067866,             0.00067866
                      7,                0.00399,                 0.9588,                      1,                    nan,             0.00067159,             0.00067159,             0.00067159
                      8,                0.00169,                0.95404,                      1,                    nan,             0.00066452,             0.00066452,             0.00066452
                      9,                0.00072,                0.96513,                      1,                    nan,             0.00065745,             0.00065745,             0.00065745
                     10,                0.00074,                0.96672,                      1,                    nan,             0.00065038,             0.00065038,             0.00065038
                     11,                0.00017,                0.95246,                      1,                    nan,             0.00064331,             0.00064331,             0.00064331
                     12,                 0.0002,                0.95721,                      1,                    nan,             0.00063625,             0.00063625,             0.00063625
                     13,                0.00024,                0.96355,                      1,                    nan,             0.00062918,             0.00062918,             0.00062918
                     14,                  5e-05,                0.96355,                      1,                    nan,             0.00062211,             0.00062211,             0.00062211
                     15,                  3e-05,                0.95087,                      1,                    nan,             0.00061504,             0.00061504,             0.00061504
                     16,                  2e-05,                0.96672,                      1,                    nan,             0.00060797,             0.00060797,             0.00060797
                     17,                0.00024,                0.96038,                      1,                    nan,              0.0006009,              0.0006009,              0.0006009
                     18,                  4e-05,                0.95087,                      1,                    nan,             0.00059383,             0.00059383,             0.00059383
                     19,                0.00021,                0.96355,                      1,                    nan,             0.00058677,             0.00058677,             0.00058677
                     20,                0.00022,                0.94929,                      1,                    nan,              0.0005797,              0.0005797,              0.0005797
